,title,work experience,salary,region
918,TeamLead для команды разработки ПО,3–6 лет,,Москва
919,Middle Python Developer,1–3 года,,
920,NLP-Developer,1–3 года,,
921,Аналитик (Консультант-разработчик на Optimacros) (Junior),не требуется,от 50 000 руб. на руки,
922,Разработчик по оптимизации бизнес-процессов (Python),1–3 года,,
923,Machine Learning Engineer,3–6 лет,от 3 000 до 4 000 EUR на руки,Москва
924,Ведущий системный администратор (DevOps),3–6 лет,от 200 000 руб. на руки,
925,Разработчик NLU,не требуется,,Санкт-Петербург
926,Инженер DevOps,1–3 года,,Москва
927,Бэкенд разработчик,3–6 лет,от 160 000 до 250 000 руб. на руки,Москва
928,Разработчик LUA,1–3 года,,Москва
929,Senior Computer Vision Engineer,более 6 лет,,Санкт-Петербург
930,Developer C++ (СХД),1–3 года,,Москва
931,Team Lead fullstack (Python),более 6 лет,,
932,DevOps инженер,3–6 лет,от 250 000 руб. на руки,Москва
933,Middle Python Developer / Data Engineer (Python) в команду ML Space Data Catalog,1–3 года,,Санкт-Петербург
934,Ведущий инженер по автоматизированному тестированию (frontend),1–3 года,,Москва
935,Senior Python Developer (Hotel Box),3–6 лет,,
936,Middle / Senior Python Developer,3–6 лет,,
937,Программист C,1–3 года,от 150 000 до 250 000 руб. на руки,
938,Data Analyst - NLP (to Canada/Serbia),более 6 лет,,Москва
939,Senior Python developer,3–6 лет,,
940,Quantitative Researcher,не требуется,,Москва
941,Архитектор - разработчик / Senior Python backend developer,3–6 лет,,
942,Программист баз данных СУБД,3–6 лет,,Санкт-Петербург
943,Data Scientist,3–6 лет,,Москва
944,Python QA Automation (Middle),1–3 года,,
945,Специалист по автоматизации тестирования / QA Engineer,1–3 года,,
946,Junior HFT Quant Trader / Data Scientist Orion Systematic AG,1–3 года,от 100 000 до 200 000 руб. на руки,Москва
947,DevOps Engineer,1–3 года,,Санкт-Петербург
948,Frontend-разработчик,3–6 лет,,Алматы
949,Senior Python Developer в команду PIM-системы,3–6 лет,,Москва
950,MLOps / SRE,3–6 лет,от 250 000 руб. на руки,
951,Senior/Middle ML разработчик ASR (МТS AI),3–6 лет,,
952,Senior BackEnd Developer,3–6 лет,,Москва
953,DevOps Engineer (Middle/Senior),3–6 лет,,Москва
954,Senior DevOps Engineer (Yepp),3–6 лет,от 5 000 до 8 500 EUR на руки,Кипр
955,Senior developer (Python),3–6 лет,,
956,Фронтенд разработчик,3–6 лет,от 150 000 руб. на руки,Москва
957,Data engineer (Middle),1–3 года,,Москва
958,Middle / Senior Python developer,1–3 года,,Москва
959,Инженер-разработчик Java,1–3 года,,
960,Программист С++ Senior,3–6 лет,от 400 000 до 700 000 руб. на руки,
961,Data Engineer (ETL Developer),3–6 лет,,Санкт-Петербург
962,Разработчик базы данных,3–6 лет,,Москва
963,DevOps engineer \ Девопс инженер (удалённо),3–6 лет,от 180 000 до 230 000 руб. на руки,Москва
964,Senior Python developer,3–6 лет,,Самара
965,Senior Python Developer / Data Engineer (Python) в команду ML Space Data Catalog,3–6 лет,,Москва
966,Разработчик интерфейсов (Программист на QT/PyQT),3–6 лет,,Москва
967,"Backend Developer (Python, Cloud)",3–6 лет,,Москва
968,Senior Software Engineer,3–6 лет,от 400 000 до 700 000 руб. на руки,Москва
969,Full stack разработчик JavaScript/Python,3–6 лет,,
970,Middle/senior C++ developer,1–3 года,,
971,DevOps инженер,3–6 лет,,Москва
972,С++ developer,3–6 лет,до 5 000 USD на руки,
973,"PHP разработчик в DevOps команду (middle, part time)",3–6 лет,от 100 000 до 160 000 руб. на руки,Москва
974,Automation QA (Python),3–6 лет,,"Москва, Пушкинская, Тверская, Чеховская"
975,Application Consultant/Консультант-разработчик Python на платформу DataViva,1–3 года,,Москва
976,Backend Engineer (Kotlin/C++/Python) at Joompay (to Lisbon),3–6 лет,,
977,Python Developer в омниканальные контактные центры,3–6 лет,,Москва
978,Senior Python Developer,3–6 лет,,Екатеринбург
979,Linux DevOps Engineer,3–6 лет,,Армения
980,Senior Python Developer,3–6 лет,,Екатеринбург
981,Linux DevOps Engineer,3–6 лет,,Армения
982,Ведущий разработчик ПО в области облачных технологий,3–6 лет,,
983,Team Lead (Python/Go),3–6 лет,,Москва
984,DevOps инженер,1–3 года,,
985,Machine Learning Engineer,3–6 лет,от 3 000 до 4 000 EUR на руки,Санкт-Петербург
986,"Golang-разработчик (middle, дистанционно)",1–3 года,,Москва
987,Пентестер iOS разработчик,3–6 лет,,
988,DevOps,3–6 лет,,
989,NLP - Разработчик,1–3 года,,
990,Backend разработчик (FastAPI),3–6 лет,,
991,Lead Backend Engineer,3–6 лет,от 12 000 до 20 000 USD на руки,Москва
992,Senior Python Developer / Data Engineer (Python) в команду ML Space Data Catalog,3–6 лет,,Санкт-Петербург
993,Senior Python Backend/Tech Lead (создание частного облака),3–6 лет,,Москва
994,Senior Python Developer (remote),3–6 лет,,"Москва, Международная"
995,Team Lead разработчиков,3–6 лет,от 300 000 до 400 000 руб. на руки,Москва
996,Разработчик баз данных СУБД,3–6 лет,от 150 000 до 250 000 руб. на руки,Москва
997,С/С++ Linux разработчик (remote),более 6 лет,,
998,QA Automation Engineer (Python),1–3 года,,
999,DevOps Engineer,1–3 года,от 250 000 до 350 000 руб. на руки,Москва
1000,Senior Python developer,3–6 лет,,Пермь
1001,Senior QA Automation (Python),3–6 лет,,Москва
1002,Разработчик C++,3–6 лет,от 300 000 до 370 000 руб. на руки,
1003,Python Developer (Backend) - разработчик Питон (Team Lead),3–6 лет,,
1004,BI developer,1–3 года,,
1005,Разработчик/Аналитик SQL,1–3 года,,Москва
1006,Data-аналитик,1–3 года,,
1007,Senior Backend Developer (Python),3–6 лет,,Москва
1008,Frontend разработчик,1–3 года,от 90 000 руб. на руки,
1009,"Программист баз данных и backend (PostgreSQL, Python)",3–6 лет,,Москва
1010,Big data developer (с функционалом DevOps),3–6 лет,,Санкт-Петербург
1011,Заместитель руководителя отдела серверной разработки (Python),3–6 лет,,
1012,"Backend-разработчик (Python)/Риск-менеджмент, Департамент управленческого консультирования",1–3 года,,Санкт-Петербург
1013,DevOps инженер (Ansible/Python),3–6 лет,,Санкт-Петербург
1014,"Аналитик-разработчик в группу ""Монетизация""",3–6 лет,,
1015,"Middle/Senior Test Automation Engineer Python (OS, Drivers)",3–6 лет,,Нижний Новгород
1016,"Аналитик-разработчик в группу ""Монетизация""",3–6 лет,,
1017,Full stack QA specialist (Python),1–3 года,,Москва
1018,"Backend-разработчик (Python)/Риск-менеджмент, Департамент управленческого консультирования",1–3 года,,Москва
1019,Senior Back-end / Full-stack developer,1–3 года,от 200 000 до 400 000 руб. на руки,
1020,Senior Python developer,3–6 лет,,Ташкент
1021,ML разработчик Виртуальный ассистент(MTS AI),1–3 года,,
1022,Python Team Lead / Руководитель backend разработки,1–3 года,,
1023,QA Automation/SDET (Python) в Tarantool,3–6 лет,,Москва
1024,Team Lead Python Developer HR TECH,3–6 лет,,Москва
1025,Full-Stack Python Developer,3–6 лет,,Финляндия
1026,Разработчик CV / Developer CV,3–6 лет,,"Москва, Технопарк"
1027,Ведущий Backend разработчик,1–3 года,,Москва
1028,Senior Python Developer в команду инфраструктуры дата-центров,3–6 лет,,
1029,Senior Python developer,3–6 лет,,Санкт-Петербург
1030,Senior SDET (Python),более 6 лет,,
1031,Senior Python Developer,1–3 года,,Алматы
1032,Data scientist / Python программист по машинному обучению,1–3 года,,
1033,Программист-математик,1–3 года,,
1034,Senior Developer,1–3 года,от 250 000 до 350 000 руб. на руки,Москва
1035,Разработчик С++,1–3 года,,Москва
1036,Go-разработчик (краудсорсинговая платформа TagMe),3–6 лет,от 300 000 до 500 000 руб. на руки,
1037,С++ разработчик (проект Поиск),1–3 года,,
1038,С++ программист / разработчик (remote),3–6 лет,от 1 000 до 5 000 USD на руки,Москва
1039,Senior Python developer,3–6 лет,,Санкт-Петербург
1040,Big data developer (с функционалом DevOps),3–6 лет,,Москва
1041,Full-stack developer - Python,3–6 лет,,
1042,Data Engineer направления разработки витрин данных,1–3 года,,Москва
1043,Full-stack developer (Python + React),3–6 лет,,Москва
1044,Big data разработчик (с функциями DevOps),3–6 лет,,Москва
1045,Разработчик С++/C# (нейронные сети),1–3 года,от 150 000 руб. на руки,
1046,Full-stack разработчик,3–6 лет,,
1047,Разработчик С++,1–3 года,от 100 000 до 190 000 руб. на руки,Москва
1048,С/С++ Developer,3–6 лет,от 240 000 руб. на руки,Москва
1049,Middle Web Developer (Python) remote,3–6 лет,,Москва
1050,"Backend Разработчик Golang, PHP / Python (mid+/senior), удаленно",3–6 лет,от 2 500 USD на руки,Санкт-Петербург
1051,Backend-Developer Python (senior),3–6 лет,,
1052,Разработчик Python/Node.js/Go,3–6 лет,,Москва
1053,Middle/Senior Python developer (remote),3–6 лет,,Астана
1054,Middle/Senior Python developer (remote),3–6 лет,,Армения
1055,NLP/PLP исследователь,1–3 года,,
1056,Data Scientist,1–3 года,,
1057,Аналитик-разработчик в «Безопасный интернет»,1–3 года,,"Москва, Парк культуры"
1058,Senior python developer [IoT HUB],1–3 года,,Москва
1059,Инженер DevOps,1–3 года,,
1060,Data Engineer (Python),1–3 года,,Тбилиси
1061,Backend Developer (Go) (to Lisbon),1–3 года,,
1062,Разработчик алгоритмов CV,не требуется,,Москва
1063,Программист Python (микроэлектроника),1–3 года,,
1064,Fullstack Developer,1–3 года,,
1065,Golang/Python developer,3–6 лет,,Москва
1066,Разработчик ПО,1–3 года,,
1067,Разработчик нейронных сетей,1–3 года,до 100 000 руб. на руки,Москва
1068,Senior Python Developer,более 6 лет,,ОАЭ
1069,Algorithm Developer,1–3 года,,
1070,Python/PL SQL Developer,1–3 года,,"Москва, Павелецкая"
1071,Python developer team lead,более 6 лет,,Москва
1072,Middle/Senior Python Developer (Platform Virtualization),3–6 лет,,Москва
1073,Senior/Tech Lead Data Scientist (Computer vision),1–3 года,,"Москва, Автозаводская"
1074,Разработчик Hadoop (BigData),1–3 года,,
1075,"Python-разработчик (Django, DRF)",3–6 лет,от 60 000 до 220 000 руб. на руки,Москва
1076,Программист Python,не требуется,от 45 000 руб. на руки,
1077,Стажер-разработчик Python,не требуется,до 35 000 руб. на руки,Москва
1078,Software Developer Python,1–3 года,от 60 000 до 200 000 руб. на руки,Москва
1079,AI-разработчик junior (удаленно),1–3 года,,Санкт-Петербург
1080,Стажер-разработчик SQL,1–3 года,,Москва
1081,Программист Python (Junior/Middle),1–3 года,,
1082,Программист Python,1–3 года,,Москва
1083,Стажер-разработчик,не требуется,,
1084,Backend-разработчик Python/Django,3–6 лет,,Ростов-на-Дону
1085,Python разработчик,1–3 года,,Алматы
1086,Python-разработчик (команда Scrooge),3–6 лет,,Москва
1087,"Младший разработчик Golang, Ozon Fresh",1–3 года,,Санкт-Петербург
1088,Data Analyst (middle/senior),3–6 лет,от 2 500 до 3 500 USD на руки,Тбилиси
1089,Стажер-разработчик бэкенда (Python),не требуется,,Екатеринбург
1090,Python Developer,1–3 года,до 280 000 руб. на руки,Москва
1091,Phyton-разработчик / Backend-разработчик,3–6 лет,,"Москва, Деловой центр, Деловой центр, Международная"
1092,Программист Python,1–3 года,от 50 000 до 200 000 руб. на руки,
1093,Стажер-разработчик SQL,1–3 года,,Москва
1094,Python-разработчик (PREDICT),1–3 года,,
1095,Junior back-end разработчик (JavaScript/Python-Jython/JVM),не требуется,от 55 000 до 63 000 руб. на руки,"Санкт-Петербург, Пионерская"
1096,Python Developer (стажер),не требуется,,
1097,Разработчик Python,1–3 года,до 30 000 руб. на руки,Москва
1098,Программист Python (удаленно),1–3 года,,
1099,Data Analyst (middle/senior),3–6 лет,от 2 500 до 3 500 USD на руки,
1100,Python Middle разработчик,1–3 года,от 100 000 до 130 000 руб. на руки,
1101,Программист Python,1–3 года,,Москва
1102,Linux DevOps Engineer,3–6 лет,,Черногория
1103,"Начинающий программист-математик (python, машинное обучение, компьютерное зрение)",1–3 года,до 100 000 руб. на руки,
1104,Python программист (Удаленно),1–3 года,,
1105,Python (Django) разработчик,1–3 года,,
1106,Python Junior,1–3 года,,Балашиха
1107,Python Developer,1–3 года,,Москва
1108,Программист Python,1–3 года,до 300 000 руб. на руки,
1109,Аналитик данных/Разработчик python,1–3 года,,Москва
1110,Junoir backend developer (Python),не требуется,,
1111,Программист Python (Django),1–3 года,,
1112,ML-разработчик,1–3 года,,Москва
1113,Junior+/ Middle Python разработчик,1–3 года,от 40 000 до 100 000 руб. на руки,Санкт-Петербург
1114,Разработчик Python,1–3 года,,Москва
1115,Python Backend Developer (Django),1–3 года,от 50 000 руб. на руки,Иннополис
1116,Программист Python Junior (Jun-Mid),1–3 года,,Москва
1117,Python разработчик,1–3 года,от 70 000 до 140 000 руб. на руки,
1118,Data-аналитик (ML),3–6 лет,,
1119,Python developer,3–6 лет,,Кипр
1120,"Web Developer (Python, JavaScript)",1–3 года,,Москва
1121,"Full Stack Developer (Python, JS)",3–6 лет,,Москва
1122,Backend ГИС разработчик,1–3 года,,Москва
1123,Аналитик данных (Data Office),1–3 года,,Москва
1124,Разработчик С++ (middle),1–3 года,,
1125,DevOps Engineer,1–3 года,от 250 000 руб. на руки,Москва
1126,Специалист-математик (data science),1–3 года,от 60 000 до 100 000 руб. на руки,Магнитогорск
1127,"Разработчик SQL / Аналитик (Data Management, BigData BI)",1–3 года,,
1128,Junior C++ разработчик алгоритмов геометрического моделирования,не требуется,от 40 000 до 70 000 руб. на руки,
1129,DevOps Engineer,1–3 года,от 2 000 до 3 500 USD на руки,
1130,SCA Analyst / Исследователь безопасности open-source компонентов,3–6 лет,,
1131,Программист разработчик SQL (SQL Developer),3–6 лет,от 90 000 до 150 000 руб. на руки,
1132,ГИС программист (разработка/аналитика/системное администрирование),1–3 года,от 90 000 до 180 000 руб. на руки,
1133,Программист С/С++ (Embedded Linux),3–6 лет,от 200 000 руб. на руки,"Москва, Авиамоторная"
1134,Младший разработчик BI,1–3 года,,
1135,Data Engineer/Разработчик DWH+ETL,1–3 года,,
1136,Python Developer,3–6 лет,,Абхазия
1137,DevOps архитектор,3–6 лет,от 400 000 руб. на руки,
1138,Data Engineer,3–6 лет,,Москва
1139,Full-stack Developer,3–6 лет,от 200 000 руб. на руки,
1140,DevOps/Site Reliability Engineer (SRE),3–6 лет,,Москва
1141,Инженер-программист,1–3 года,,
1142,DevOps Engineer,1–3 года,от 120 000 руб. на руки,Москва
1143,Стажер DevOps,не требуется,до 35 000 руб. на руки,Москва
1144,"Старший инженер по автоматизации тестирования Python, ERP и учётные системы, Мetazon",3–6 лет,,
1145,Биоинформатик-разработчик,1–3 года,,Москва
1146,C++/Qt developer,1–3 года,,
1147,Developer С/С+ (Senior/Teamlead),более 6 лет,,Санкт-Петербург
1148,Разработчик C (удаленная работа),3–6 лет,до 350 000 руб. на руки,Москва
1149,Web-разработчик full stack,1–3 года,,Санкт-Петербург
1150,Data Analyst - NLP (to Canada/Serbia),более 6 лет,,Санкт-Петербург
1151,Тьютор/Наставник/Программист - Преподаватель в школу программирования,1–3 года,от 40 000 до 75 000 руб. на руки,
1152,DevOps-специалист,не требуется,,Самара
1153,Clojure-разработчик,3–6 лет,,Москва
1154,Разработчик C++,3–6 лет,,Москва
1155,Erlang разработчик,3–6 лет,,
1156,Разработчик C++,1–3 года,,
1157,Программист/Разработчик информационных систем на Oracle/django (Москва),3–6 лет,,
1158,Автоматический Тестировщик (AQA),1–3 года,,
1159,Your start in IT - QA Automation Training to become an Automation QA Intern,не требуется,,Тбилиси
1160,Senior Backend Engineer,3–6 лет,,Москва
1161,QA Intern - Automation testing,не требуется,,Алматы
1162,Automation QA Specialist,1–3 года,,Санкт-Петербург
1163,Разработчик Power BI,1–3 года,,
1164,SQL разработчик,1–3 года,,
1165,QA Intern - Automation testing,не требуется,,Баку
1166,Инженер-программист,1–3 года,,
1167,Инженер DevOps,1–3 года,,
1168,Преподаватель программирования,1–3 года,,
1169,Старший разработчик (Ruby),1–3 года,,
1170,"Team lead, ML направление",более 6 лет,,
1171,Your start in IT - QA Automation Training to become an Automation QA Intern,не требуется,,Ташкент
1172,Инженер по нагрузочному тестированию,1–3 года,,Москва
1173,Преподаватель программирования в онлайн-школу для детей (удаленно),1–3 года,от 25 000 до 55 000 руб. на руки,Санкт-Петербург
1174,Senior Backend Developer,более 6 лет,,Москва
1175,Team lead Data Scientist,более 6 лет,,
1176,C++ Developer / Программист разработчик С++ (разработка ПО в области CAE),1–3 года,,Москва
1177,Разработчик курса/методист/преподаватель по Data Science,3–6 лет,,Москва
1178,Embedded разработчик,3–6 лет,,
1179,С ++ Программист,1–3 года,от 130 000 руб. на руки,
1180,Plotly Dash Developer,1–3 года,,Астана
1181,Инженер - разработчик RTL,1–3 года,,Москва
1182,Системный администратор Linux / DevOps инженер,3–6 лет,от 80 000 до 160 000 руб. на руки,Москва
1183,Разработчик моделей цифровых систем беспроводной связи,1–3 года,,
1184,Java Developer (Server side),3–6 лет,от 170 000 до 180 000 руб. на руки,Москва
1185,Разработчик поисковых систем,1–3 года,,Москва
1186,DevOps engineer,3–6 лет,от 3 000 EUR на руки,Москва
1187,DevOps специалист,3–6 лет,,
1188,Программист PHP / Разработчик,3–6 лет,от 170 000 руб. на руки,Черноголовка
1189,Senior Data Scientist,3–6 лет,,
1190,Data инженер,3–6 лет,,
1191,PHP developer (remote),3–6 лет,от 150 000 до 230 000 руб. на руки,Москва
1192,Senior blockchain developer,3–6 лет,,Санкт-Петербург
1193,Бэкенд-разработчик (Ruby on Rails),1–3 года,,Москва
1194,Бэк-енд разработчик,3–6 лет,,Алматы
1195,DevOps and Database engineer,3–6 лет,,
1196,DevOps инженер,3–6 лет,,
1197,Middle Backend developer (NestJS),1–3 года,от 400 000 до 700 000 KZT на руки,Алматы
1198,Python Developer,3–6 лет,,Баку
1199,QA Automation Engineer (backend),1–3 года,,
1200,Инженер-программист С++,1–3 года,,
1201,Аналитик-исследователь киберугроз,3–6 лет,от 150 000 до 250 000 руб. на руки,
1202,UE4 Developer,1–3 года,,Москва
1203,Разработчик C++/Математик,3–6 лет,,Москва
1204,Python Developer,3–6 лет,,Тбилиси
1205,Бизнес-аналитик,1–3 года,,Санкт-Петербург
1206,Разработчик C++/Математик,3–6 лет,,Тула
1207,"Junior Game Developer (Cocos2D, TypeScript, JavaScript, C++, Unity)",1–3 года,от 50 000 до 75 000 руб. на руки,
1208,QA Intern - Automation testing,не требуется,,Астана
1209,Программист C/C++,1–3 года,,
1210,Инженер-программист C/C++ (Embedded linux),3–6 лет,от 150 000 до 300 000 руб. на руки,
1211,Программист С++,3–6 лет,,
1212,Data Scientist (Core),3–6 лет,,Армения
1213,Разработчик SAS,1–3 года,,Москва
1214,Инженер-программист,более 6 лет,от 90 000 руб. на руки,
1215,Разработчик RPA,3–6 лет,,Санкт-Петербург
1216,Программист,1–3 года,,
1217,Data analyst (Tableau),3–6 лет,от 1 500 до 3 500 EUR на руки,Тбилиси
1218,Junior DevOps,1–3 года,,Москва
1219,Senior Аналитик BI,3–6 лет,,Москва
1220,"Разработчик Qt/C++ (Windows, Android)",1–3 года,от 150 000 руб. на руки,
1221,Reverse Engineer,3–6 лет,от 2 000 до 3 500 USD на руки,Санкт-Петербург
1222,DevOps engineer,1–3 года,,
1223,PHP Backend developer,3–6 лет,от 200 000 руб. на руки,
1224,Инженер-программист (Embedded-разработчик),1–3 года,,
1225,Go-разработчик,1–3 года,до 180 000 руб. на руки,Санкт-Петербург
1226,Ведущий инженер-разработчик в группа разработки информационных сервисов,3–6 лет,,
1227,Программист VBA,1–3 года,,Воронеж
1228,DevOps инженер (bare metal),3–6 лет,,Подольск (Московская область)
1229,Инженер (Linux),1–3 года,,
1230,QA-Engineer / Тестировщик ПО (Удаленно),3–6 лет,,Москва
1231,Разработчик бэкенда в Поиск,3–6 лет,,
1232,Senior Software Engineer (DevOps) – Remote,более 6 лет,,Москва
1233,Старший математик \ Senior Data scientist,более 6 лет,от 100 000 до 140 000 руб. на руки,Магнитогорск
1234,DevOps инженер,1–3 года,,
1235,Java-разработчик,3–6 лет,,Москва
1236,Senior Product Data Analyst,3–6 лет,,Москва
1237,DevOps / SRE,более 6 лет,,Москва
1238,Программист Java (embedded-системы),3–6 лет,до 300 000 руб. на руки,
1239,Разработчик (Big Data / ДПП),3–6 лет,,Москва
1240,Программист/Наставник-тьютор в IT школу для детей,1–3 года,от 85 000 до 150 000 руб. на руки,
1241,Game/Backend Team Lead,3–6 лет,,Минск
1242,Go-разработчик,1–3 года,до 180 000 руб. на руки,Москва
1243,Data Analyst (Python) Team leader/ Аналитик данных Тимлид,3–6 лет,,Санкт-Петербург
1244,"Backend Developer (C/C++, Java, Python)",1–3 года,,Самара
1245,"Junior Product manager/ Менеджер интеграции (SaaS, eCommerce)",1–3 года,до 100 000 руб. на руки,Москва
1246,Разработчик курса / методист / преподаватель курсов по Machine Learning,3–6 лет,,Москва
1247,Application Security инженер (практика SAST),1–3 года,,
1248,Разработчик бэкенда в Яндекс Кью,3–6 лет,,
1249,Senior Backend Developer,более 6 лет,,Тбилиси
1250,Разработчик на С под Linux (Data Plane),1–3 года,,
1251,ETL разработчик (Airflow),1–3 года,,
1252,Senior Backend Engineer,3–6 лет,,Москва
1253,Middle С++ Developer (Разработчик С++),3–6 лет,от 170 000 руб. на руки,Москва
1254,"Веб VoIP инженер (SIP, Asterisk, Kamailio)",3–6 лет,от 5 000 USD на руки,Москва
1255,Full-stack developer (middle),1–3 года,от 3 500 до 6 000 бел. руб. на руки,Минск
1256,Разработчик встраиваемого/бортового ПО (C++),3–6 лет,от 180 000 до 220 000 руб. на руки,
1257,DevOps\SRE engineer,3–6 лет,до 260 000 руб. на руки,Москва
1258,Разработчик Qt/C++,1–3 года,от 200 000 руб. на руки,"Москва, Ломоносовский проспект"
1259,Программист-стажер,не требуется,от 20 000 до 40 000 руб. на руки,
1260,C++ Gameplay Developer,1–3 года,,Минск
1261,Специалист по разработке на Golang (middle),1–3 года,,
1262,Разработчик С++ (Back-end/CCTV/IPTV/OTT),3–6 лет,,Москва
1263,Системный аналитик,3–6 лет,от 180 000 руб. на руки,Москва
1264,DilOS (illumos based) developer,3–6 лет,,Москва
1265,AWS Data Engineer,3–6 лет,,Москва
1266,"Веб VoIP инженер (SIP, Asterisk, Kamailio)",3–6 лет,от 5 000 USD на руки,Санкт-Петербург
1267,Unity Developer,1–3 года,от 100 000 руб. на руки,
1268,Разработчик ETL,1–3 года,,Сочи
1269,Программист C/С++ (Middle),3–6 лет,,
1270,BI Developer,3–6 лет,,Москва
1271,Системный администратор Linux/DevOps инженер (remote),более 6 лет,от 150 000 руб. на руки,Москва
1272,Senior Software Engineer (DevOps) – Remote,более 6 лет,,Санкт-Петербург
1273,Преподаватель по программированию,не требуется,от 10 000 руб. на руки,Копейск
1274,Build-Engineer,1–3 года,,"Санкт-Петербург, Удельная"
1275,Фулстек-программист,1–3 года,от 100 000 до 180 000 руб. на руки,
1276,Senior Marketing Analyst (Remote),3–6 лет,от 3 000 EUR на руки,
1277,Разработчик С++/Qt,1–3 года,,
1278,Инженер по компьютерному зрению,3–6 лет,,
1279,Senior Server Developer,более 6 лет,,
1280,Middle Full stack developer в Антифрод,3–6 лет,,Москва
1281,Senior DevOps Engineer - Automation (to Canada/Serbia),более 6 лет,,Москва
1282,Тех лид (Tech Lead),3–6 лет,от 360 000 руб. на руки,
1283,Программист-разработчик,1–3 года,,
1284,Data engineer/инженер данных/дата-инженер,1–3 года,от 150 000 руб. на руки,
1285,C++ developer,1–3 года,,Москва
1286,ETL-разработчик,3–6 лет,,Москва
1287,Ведущий программист,3–6 лет,от 120 000 до 140 000 руб. на руки,"Санкт-Петербург, Василеостровская, Приморская"
1288,Junior Unreal Engine Level Designer,1–3 года,,
1289,Frontend-разработчик (Mithril),3–6 лет,от 160 000 руб. на руки,Санкт-Петербург
1290,,,,
1291,Программист C,1–3 года,от 80 000 до 110 000 руб. на руки,
1292,DevOps Junior,1–3 года,,
1293,Senior QA (нагрузочное),3–6 лет,,Москва
1294,Head of DevOps (Dubai),3–6 лет,от 10 000 USD на руки,Москва
1295,Ведущий фулстек разработчик / Senior fullstack developer (Python),3–6 лет,,Москва
1296,Аналитик-разработчик в команду релевантности ответов Алисы,1–3 года,,Санкт-Петербург
1297,Аналитик-разработчик в команду релевантности ответов Алисы,1–3 года,,Москва
1298,DevOps-инженер,3–6 лет,до 330 000 руб. на руки,
1299,Golang Developer,1–3 года,,Москва
1300,Go-разработчик,1–3 года,до 180 000 руб. на руки,Екатеринбург
1301,Junior Backend-разработчик,1–3 года,,
1302,Full-stack developer,3–6 лет,,Москва
1303,Аналитик-разработчик в голосовые технологии,1–3 года,,Москва
1304,Программист Golang (Middle),1–3 года,,
1305,Data Scientist,1–3 года,,Москва
1306,Разработчик ETL,3–6 лет,,Томск
1307,DevOPS / SRE Engineer,3–6 лет,от 4 500 до 6 000 USD на руки,
1308,Senior Go Developer,3–6 лет,до 1 300 000 KZT на руки,
1309,Системный администратор \ DEVOPS инженер,1–3 года,от 50 000 до 90 000 руб. на руки,Магнитогорск
1310,"Lead / Senior C# разработчик (.net, back-end)",3–6 лет,до 400 000 руб. на руки,
1311,Продуктовый аналитик/Product Analyst,3–6 лет,,Москва
1312,DevOPS / SRE Engineer,3–6 лет,от 4 500 до 6 000 USD на руки,Тбилиси
1313,Старший программист (devops),3–6 лет,,
1314,Аналитик-разработчик в голосовые технологии,1–3 года,,Санкт-Петербург
1315,C++ разработчик алгоритмов геометрического моделирования,3–6 лет,от 75 000 до 140 000 руб. на руки,
1316,Data Scientist (Почта),1–3 года,,
1317,Инженер-программист,1–3 года,,
1318,Программист-математик,3–6 лет,,"Москва, Баррикадная, Краснопресненская, Улица 1905 года"
1319,Программист,более 6 лет,,
1320,Инженер-программист,1–3 года,,
1321,Ведущий разработчик программного обеспечения,3–6 лет,от 150 000 руб. на руки,Москва
1322,C/C++ Developer in Advanced Computing Team,1–3 года,,
1323,SRE/DevOps инженер в облачную инфраструктуру SberInfra,1–3 года,,Москва
1324,Разработчик программного обеспечения (Ментор - ассистент),1–3 года,,Фергана
1325,Разработчик программного обеспечения (Ментор),1–3 года,,Фергана
1326,"DevOps engineer (проект ""Профкон/Сберброкер"")",1–3 года,,
1327,Ведущий инженер по нагрузочному тестированию,3–6 лет,,Москва
1328,Embedded Linux программист,1–3 года,,
1329,Senior Vue Developer,более 6 лет,,Санкт-Петербург
1330,Системный администратор Linux,3–6 лет,от 150 000 руб. на руки,
1331,"Веб VoIP инженер (SIP, Asterisk, Kamailio)",3–6 лет,от 5 000 USD на руки,Омск
1332,Java developer,1–3 года,от 100 000 руб. на руки,
1333,"Frontend-разработчик (middle, удаленно)",1–3 года,,Москва
1334,DevOps-инженер,1–3 года,,
1335,Senior product analyst,3–6 лет,,Москва
1336,Разработчик баз данных,3–6 лет,,Санкт-Петербург
1337,Deep Learning Engineer,1–3 года,,
1338,Инженер-программист,3–6 лет,,"Москва, Киевская"
1339,Разработчик Oracle/Data Engineer,1–3 года,,Москва
1340,Преподаватель IT дисциплин (удалённо),не требуется,,Москва
1341,Deep Learning and Computer Vision Engineer,3–6 лет,,Аксай (Казахстан)
1342,Эксперт по BigData,1–3 года,,Москва
1343,Веб-разработчик,1–3 года,,
1344,Инженер по тестированию,3–6 лет,,Москва
1345,PHP Developer,1–3 года,от 60 000 до 200 000 руб. на руки,
1346,Программист,1–3 года,от 53 600 до 53 600 руб. на руки,
1347,Golang developer,1–3 года,,
1348,Разработчик SQL / Python / Аналитик данных / системный аналитик,1–3 года,от 20 000 до 70 000 руб. на руки,
1349,Разработчик BI,3–6 лет,,
1350,Groovy/Java разработчик,1–3 года,,
1351,Программист (Laravel),1–3 года,от 20 000 до 40 000 руб. на руки,Москва
